,,open,high,low,close
BTC/USD,2025-11-06 13:55:00,101971.12000,102006.00000,101665.54000,101665.54000
BTC/USD,2025-11-06 13:50:00,102225.98000,102286.88000,101920.19000,101971.12000
BTC/USD,2025-11-06 13:45:00,101606.34000,102261.35000,101580.00000,102225.98000
BTC/USD,2025-11-06 13:40:00,101725.72000,101776.66000,101567.31000,101606.34000
BTC/USD,2025-11-06 13:35:00,101515.97000,101730.36000,101508.00000,101725.72000
BTC/USD,2025-11-06 13:30:00,101312.97000,101600.00000,101259.58000,101515.97000
BTC/USD,2025-11-06 13:25:00,101243.99000,101486.99000,101233.20000,101312.97000
BTC/USD,2025-11-06 13:20:00,100947.75000,101262.73000,100947.74000,101243.98000
BTC/USD,2025-11-06 13:15:00,101329.28000,101359.96000,100855.29000,100947.74000
BTC/USD,2025-11-06 13:10:00,101244.21000,101344.89000,101233.22000,101330.00000
BTC/USD,2025-11-06 13:05:00,101422.29000,101500.00000,101222.55000,101244.21000
BTC/USD,2025-11-06 13:00:00,101739.96000,101739.96000,101406.28000,101422.29000
BTC/USD,2025-11-06 12:55:00,101791.71000,101842.00000,101624.00000,101739.96000
BTC/USD,2025-11-06 12:50:00,101596.08000,101887.78000,101596.08000,101791.71000
BTC/USD,2025-11-06 12:45:00,101295.22000,101716.47000,101295.21000,101596.08000
BTC/USD,2025-11-06 12:40:00,101207.76000,101353.97000,101128.69000,101295.22000
BTC/USD,2025-11-06 12:35:00,101268.55000,101491.60000,101171.82000,101203.95000
BTC/USD,2025-11-06 12:30:00,101372.01000,101505.00000,101170.14000,101268.54000
BTC/USD,2025-11-06 12:25:00,101063.64000,101439.03000,101020.07000,101372.01000
BTC/USD,2025-11-06 12:20:00,101026.59000,101082.16000,100785.84000,101063.63000
BTC/USD,2025-11-06 12:15:00,100908.01000,101119.19000,100891.00000,101026.60000
BTC/USD,2025-11-06 12:10:00,101084.70000,101418.00000,100850.54000,100902.27000
BTC/USD,2025-11-06 12:05:00,100998.36000,101087.61000,100697.88000,101084.71000
BTC/USD,2025-11-06 12:00:00,100804.38000,101059.20000,100802.00000,101004.81000
BTC/USD,2025-11-06 11:55:00,101039.05000,101039.05000,100576.00000,100795.18000
BTC/USD,2025-11-06 11:50:00,100461.74000,101103.30000,100253.58000,101040.56000
BTC/USD,2025-11-06 11:45:00,100527.14000,100739.99000,100416.70000,100461.75000
BTC/USD,2025-11-06 11:40:00,100912.14000,101003.50000,100235.02000,100527.93000
BTC/USD,2025-11-06 11:35:00,101461.82000,101477.67000,100875.00000,100912.00000
BTC/USD,2025-11-06 11:30:00,101730.36000,101730.36000,101382.98000,101461.81000
BTC/USD,2025-11-06 11:25:00,101725.96000,101831.94000,101586.84000,101730.37000
BTC/USD,2025-11-06 11:20:00,101512.16000,101718.06000,101464.81000,101718.01000
BTC/USD,2025-11-06 11:15:00,101716.47000,101863.34000,101505.00000,101513.71000
BTC/USD,2025-11-06 11:10:00,102061.92000,102085.44000,101716.48000,101718.02000
BTC/USD,2025-11-06 11:05:00,102082.76000,102339.06000,102017.43000,102067.06000
BTC/USD,2025-11-06 11:00:00,101964.69000,102093.07000,101906.31000,102082.76000
BTC/USD,2025-11-06 10:55:00,102091.95000,102091.95000,101810.19000,101961.75000
BTC/USD,2025-11-06 10:50:00,101769.29000,102103.68000,101620.34000,102086.43000
BTC/USD,2025-11-06 10:45:00,101741.58000,101918.35000,101562.52000,101769.30000
BTC/USD,2025-11-06 10:40:00,101860.00000,102074.20000,101657.38000,101741.57000
BTC/USD,2025-11-06 10:35:00,102189.83000,102258.18000,101830.00000,101860.00000
BTC/USD,2025-11-06 10:30:00,102397.89000,102424.85000,102000.00000,102198.73000
BTC/USD,2025-11-06 10:25:00,102579.99000,102730.35000,102374.00000,102391.14000
BTC/USD,2025-11-06 10:20:00,102413.83000,102875.22000,102413.83000,102585.07000
BTC/USD,2025-11-06 10:15:00,102165.25000,102461.69000,102054.47000,102413.83000
BTC/USD,2025-11-06 10:10:00,102150.01000,102424.00000,102150.00000,102165.25000
BTC/USD,2025-11-06 10:05:00,101962.02000,102367.77000,101943.35000,102150.01000
BTC/USD,2025-11-06 10:00:00,102077.10000,102122.35000,101734.89000,101962.02000
BTC/USD,2025-11-06 09:55:00,102088.02000,102233.02000,101977.30000,102077.02000
BTC/USD,2025-11-06 09:50:00,102562.02000,102638.40000,102059.06000,102088.00000
BTC/USD,2025-11-06 09:45:00,102467.99000,102879.18000,102441.88000,102562.03000
BTC/USD,2025-11-06 09:40:00,102400.00000,102650.00000,102162.24000,102468.00000
BTC/USD,2025-11-06 09:35:00,102557.99000,102736.80000,102300.00000,102400.01000
BTC/USD,2025-11-06 09:30:00,102855.45000,102894.57000,102508.72000,102550.17000
BTC/USD,2025-11-06 09:25:00,102759.54000,102891.99000,102722.00000,102852.66000
BTC/USD,2025-11-06 09:20:00,103026.01000,103072.28000,102716.55000,102758.42000
BTC/USD,2025-11-06 09:15:00,102982.77000,103091.58000,102832.30000,103026.01000
BTC/USD,2025-11-06 09:10:00,102735.07000,103036.01000,102655.94000,102982.77000
BTC/USD,2025-11-06 09:05:00,103332.34000,103332.34000,102733.70000,102735.07000
BTC/USD,2025-11-06 09:00:00,103271.98000,103532.00000,103266.74000,103332.34000
BTC/USD,2025-11-06 08:55:00,103337.00000,103402.03000,103239.74000,103271.98000
BTC/USD,2025-11-06 08:50:00,103331.35000,103482.92000,103331.34000,103337.00000
BTC/USD,2025-11-06 08:45:00,103250.27000,103418.58000,103250.26000,103331.35000
BTC/USD,2025-11-06 08:40:00,103173.00000,103278.74000,103100.84000,103250.26000
BTC/USD,2025-11-06 08:35:00,103271.05000,103294.72000,103110.10000,103173.00000
BTC/USD,2025-11-06 08:30:00,103446.01000,103533.78000,103243.11000,103271.05000
BTC/USD,2025-11-06 08:25:00,103471.93000,103577.60000,103366.00000,103446.01000
BTC/USD,2025-11-06 08:20:00,103100.84000,103485.93000,103026.77000,103472.00000
BTC/USD,2025-11-06 08:15:00,102850.85000,103125.06000,102814.22000,103100.82000
BTC/USD,2025-11-06 08:10:00,102750.00000,102898.44000,102739.71000,102850.85000
BTC/USD,2025-11-06 08:05:00,102596.17000,102754.94000,102561.29000,102749.99000
BTC/USD,2025-11-06 08:00:00,102512.84000,102649.01000,102512.84000,102584.14000
BTC/USD,2025-11-06 07:55:00,102462.94000,102577.98000,102458.88000,102512.83000
BTC/USD,2025-11-06 07:50:00,102497.99000,102609.75000,102446.08000,102462.94000
BTC/USD,2025-11-06 07:45:00,102403.74000,102535.98000,102333.01000,102497.99000
BTC/USD,2025-11-06 07:40:00,102818.41000,102818.41000,102353.75000,102403.75000
BTC/USD,2025-11-06 07:35:00,102861.50000,102966.56000,102753.60000,102818.41000
BTC/USD,2025-11-06 07:30:00,102771.99000,102887.86000,102717.39000,102861.50000
BTC/USD,2025-11-06 07:25:00,102825.28000,102860.08000,102744.10000,102771.99000
BTC/USD,2025-11-06 07:20:00,102900.99000,102928.00000,102784.62000,102825.28000
BTC/USD,2025-11-06 07:15:00,102980.46000,102981.96000,102804.52000,102906.48000
BTC/USD,2025-11-06 07:10:00,103119.48000,103200.00000,102980.46000,102980.46000
BTC/USD,2025-11-06 07:05:00,102992.00000,103295.29000,102955.01000,103122.90000
BTC/USD,2025-11-06 07:00:00,103198.71000,103235.11000,102943.70000,102992.01000
BTC/USD,2025-11-06 06:55:00,103177.17000,103211.96000,103148.61000,103198.70000
BTC/USD,2025-11-06 06:50:00,103149.01000,103238.30000,103105.56000,103177.17000
BTC/USD,2025-11-06 06:45:00,103130.04000,103253.62000,103130.03000,103149.01000
BTC/USD,2025-11-06 06:40:00,103162.00000,103276.00000,103118.00000,103130.03000
BTC/USD,2025-11-06 06:35:00,103117.11000,103200.00000,103054.55000,103161.99000
BTC/USD,2025-11-06 06:30:00,103120.21000,103233.99000,103103.00000,103117.11000
BTC/USD,2025-11-06 06:25:00,103090.02000,103147.14000,103023.61000,103121.18000
BTC/USD,2025-11-06 06:20:00,103011.99000,103150.00000,103011.98000,103090.02000
BTC/USD,2025-11-06 06:15:00,102836.93000,103012.86000,102782.04000,103011.99000
BTC/USD,2025-11-06 06:10:00,102809.59000,102872.93000,102790.64000,102836.93000
BTC/USD,2025-11-06 06:05:00,102818.41000,102852.66000,102702.67000,102804.00000
BTC/USD,2025-11-06 06:00:00,103096.77000,103096.77000,102789.82000,102818.41000
BTC/USD,2025-11-06 05:55:00,103128.63000,103196.09000,103073.07000,103096.77000
